Score	ORR	ORR025	ORR975
0.0	0.0	0.0	0.0
0.01	0.0	0.0	0.0
0.02	0.0	0.0	0.0
0.03	0.0	0.0	0.0
0.04	0.0	0.0	0.0
0.05	0.0	0.0	0.0
0.06	0.0	0.0	0.0
0.07	0.0	0.0	0.0
0.08	0.0	0.0	0.0
0.09	0.0	0.0	0.0
0.1	0.0	0.0	0.0
0.11	0.0	0.0	0.0
0.12	0.0	0.0	0.0
0.13	0.0	0.0	0.0
0.14	0.0	0.0	0.0
0.15	0.0	0.0	0.0
0.16	0.0	0.0	0.0
0.17	0.0	0.0	0.0
0.18	0.0	0.0	0.0
0.19	0.0	0.0	0.0
0.2	0.0	0.0	0.0
0.21	0.0	0.0	0.0
0.22	0.0	0.0	0.0
0.23	0.0	0.0	0.0
0.24	0.0	0.0	0.0
0.25	0.07455184235736427	0.0	0.2506578947368415
0.26	0.09542218448765408	0.0	0.23529411764705882
0.27	0.10801966950894455	0.0	0.24140543364681294
0.28	0.150798515832991	0.05263157894736842	0.2766252955082742
0.29	0.13095481077345994	0.05354793233082707	0.2280975877192982
0.3	0.12503713202502437	0.05354793233082707	0.21311475409836064
0.31	0.13826517571147495	0.06058344640434193	0.22226368159203974
0.32	0.12875375723777313	0.06023493975903615	0.2
0.33	0.13659105028569643	0.07213073624669282	0.2124167246693845
0.34	0.1181603280726212	0.062013788845441446	0.18487394957983194
0.35	0.11454236496902342	0.061395138609883486	0.17798123486682807
0.36	0.11921984465409083	0.06611570247933884	0.18181818181818182
0.37	0.11121220270610607	0.060599529780564265	0.16669463087248318
0.38	0.0998351441146821	0.050320231619582385	0.155042101042502
0.39	0.12242474207416103	0.06188337860334706	0.18646716101694913
0.4	0.1450140953165441	0.08033936472819217	0.2149848446577418
0.41	0.13462346021463623	0.06930693069306931	0.2111458333333333
0.42	0.16478163863541465	0.08235294117647059	0.2561236933797909
0.43	0.17900323244455696	0.09755250677506776	0.2714285714285714
0.44	0.2639973848861944	0.16433647260273973	0.37038530465949815
0.45	0.2802359816085978	0.1746031746031746	0.39191602316602314
0.46	0.3261749241333282	0.20369585687382297	0.4464380699088146
0.47	0.3314767718404477	0.21049571603427172	0.45454545454545453
0.48	0.39131787259647777	0.2599814814814815	0.5294117647058824
0.49	0.3981202424682051	0.26663265306122447	0.5333720930232557
0.5	0.3889770420007995	0.25	0.5227543290043289
0.51	0.38840502660256093	0.24527339237581824	0.526393188854489
0.52	0.35252424055275083	0.2194789356984479	0.4898237476808905
0.53	0.37582047470957175	0.23529411764705882	0.5208559782608696
0.54	0.3162386438984788	0.1794871794871795	0.45960087994971704
0.55	0.3326752988352048	0.19607843137254902	0.47078005115089494
0.56	0.30527123689674335	0.18329545454545454	0.43478260869565216
0.57	0.3531818452610585	0.22448979591836735	0.49019607843137253
0.58	0.3443493394355217	0.22805023923444975	0.46938775510204084
0.59	0.32726887353268697	0.2062925170068027	0.45454545454545453
0.6	0.34461005777426146	0.22807017543859648	0.4643721198156681
0.61	0.4000281887347527	0.2758495752123938	0.5147170231729055
0.62	0.40929881584223926	0.2923076923076923	0.5230769230769231
0.63	0.4227808418512895	0.301547619047619	0.5410183384273409
0.64	0.46301861910079906	0.34423782725715685	0.5849056603773585
0.65	0.48453063824507	0.35714285714285715	0.6119402985074627
0.66	0.48572767698726815	0.35992857142857143	0.6227004716981132
0.67	0.5027647134833219	0.3606393442622951	0.6410377358490567
0.68	0.5251320141256172	0.37209302325581395	0.6666666666666666
0.69	0.5537189434439371	0.39989583333333334	0.7045454545454546
0.7	0.5634874843942771	0.4052702702702703	0.7353900255754475
0.71	0.5388680893637013	0.3665909090909091	0.71875
0.72	0.6438813224204923	0.43478260869565216	0.8400526315789473
0.73	0.625337226478849	0.40886363636363643	0.8183155080213903
0.74	0.6150783304685422	0.3748355263157895	0.8333333333333334
0.75	0.6072974070248213	0.3333333333333333	0.8571428571428571
0.76	0.7297297118000678	0.4166666666666667	1.0
0.77	0.7306395507313463	0.41625000000000006	1.0
0.78	0.6988404267172456	0.375	1.0
0.79	0.7735036443048442	0.4444444444444444	1.0
0.8	0.7962218000551675	0.5	1.0
0.81	0.8670859577135149	0.5555555555555556	1.0
0.82	0.8502662816643249	0.5	1.0
0.83	0.7960853594418904	0.3333333333333333	1.0
0.84	0.7324791390563202	0.25	1.0
0.85	0.7338579951654156	0.2544642857142857	1.0
0.86	0.7338579951654156	0.2544642857142857	1.0
0.87	0.6501294494669053	0.0	1.0
0.88	1.0	1.0	1.0
0.89	1.0	1.0	1.0
0.9	1.0	1.0	1.0
0.91	1.0	1.0	1.0
0.92	1.0	1.0	1.0
0.93	1.0	1.0	1.0
0.94	1.0	1.0	1.0
0.95	1.0	1.0	1.0
0.96	1.0	1.0	1.0
0.97	1.0	1.0	1.0
0.98	1.0	1.0	1.0
0.99	1.0	1.0	1.0
1.0	1.0	1.0	1.0
