Score	ORR	ORR025	ORR975
0.0	0.0	0.0	0.0
0.01	0.0	0.0	0.0
0.02	0.0	0.0	0.0
0.03	0.0	0.0	0.0
0.04	0.0	0.0	0.0
0.05	0.0	0.0	0.0
0.06	0.0	0.0	0.0
0.07	0.0	0.0	0.0
0.08	0.0	0.0	0.0
0.09	0.0	0.0	0.0
0.1	0.0	0.0	0.0
0.11	0.0	0.0	0.0
0.12	0.0	0.0	0.0
0.13	0.0	0.0	0.0
0.14	0.0	0.0	0.0
0.15	0.0	0.0	0.0
0.16	0.0	0.0	0.0
0.17	0.0	0.0	0.0
0.18	0.0	0.0	0.0
0.19	0.0	0.0	0.0
0.2	0.0	0.0	0.0
0.21	0.0	0.0	0.0
0.22	0.0	0.0	0.0
0.23	0.0	0.0	0.0
0.24	0.0	0.0	0.0
0.25	0.10213118334868054	0.0	0.26666666666666666
0.26	0.06826093652791843	0.0	0.17397698209718665
0.27	0.11903013056522778	0.02564102564102564	0.22730519480519476
0.28	0.09157853442536043	0.01959841628959276	0.17546439628482968
0.29	0.12813821913278978	0.05553652968036529	0.21518987341772153
0.3	0.12275112999508353	0.05555555555555555	0.20238471971066907
0.31	0.1313280760346849	0.06521033314511575	0.20931668102210738
0.32	0.11817058123976135	0.05824960487694739	0.19048701298701295
0.33	0.13312481777696292	0.07205598455598455	0.2
0.34	0.1380518438763615	0.07692307692307693	0.20626348597458635
0.35	0.13287019790816645	0.07315964523281596	0.20008130081300807
0.36	0.14558489271791722	0.07894736842105263	0.21570648878107943
0.37	0.12684778873039182	0.06363636363636363	0.19513520678685048
0.38	0.14696705908490723	0.0759445723053318	0.22370435016111706
0.39	0.12085556254426229	0.05616416978776529	0.1882516339869281
0.4	0.14075428893421438	0.07226764199655766	0.21430831826401445
0.41	0.1505924400656149	0.0768987341772152	0.23289895036470376
0.42	0.1830808632546811	0.09996913580246915	0.2727272727272727
0.43	0.18364706813950216	0.09522200772200771	0.2835871319080274
0.44	0.17763220638634966	0.09087995337995339	0.2745311167945439
0.45	0.2072202210893941	0.11534810126582279	0.30489498644986446
0.46	0.24854806841432953	0.15147727272727274	0.35489631336405525
0.47	0.2570342691496217	0.15151515151515152	0.36668367346938774
0.48	0.26603319903449574	0.15380434782608696	0.38188811188811184
0.49	0.3084480751443575	0.1851010101010101	0.4286330049261083
0.5	0.3152760362500434	0.19506846384253318	0.43400030432136333
0.51	0.3093797906105176	0.18181818181818182	0.4375
0.52	0.355329267074751	0.23076923076923078	0.4893725575336517
0.53	0.3297490804991676	0.20408163265306123	0.46153846153846156
0.54	0.3415827279392718	0.21567873303167423	0.47174776564051635
0.55	0.31576469734336154	0.19552277432712217	0.4444444444444444
0.56	0.2916850588801025	0.17300531914893616	0.4222300469483568
0.57	0.3215445827650962	0.1929451287793953	0.45098039215686275
0.58	0.3388490684676575	0.21151315789473685	0.46944551405467844
0.59	0.3633162095707547	0.2325134168157424	0.49153237010280637
0.6	0.39980758156737123	0.27080853174603176	0.5333333333333333
0.61	0.41259083254093526	0.2856547619047619	0.5357473544973544
0.62	0.38793248216449167	0.25925925925925924	0.5111111111111111
0.63	0.4528198273266533	0.32	0.5769736842105262
0.64	0.469072233719579	0.3259856300663228	0.6000862068965517
0.65	0.5198686052531553	0.3725376196990424	0.66
0.66	0.5809037031148924	0.4259160756501182	0.723404255319149
0.67	0.6048212705020659	0.4509127789046653	0.7400897435897436
0.68	0.6102332626097293	0.4594015444015444	0.7501275510204081
0.69	0.5909789132700146	0.43331081081081085	0.75
0.7	0.5682196782425913	0.4	0.7297297297297297
0.71	0.6017633116112343	0.4210101867572156	0.7778985507246375
0.72	0.6087560689273034	0.4209429824561403	0.7857142857142857
0.73	0.626931807009428	0.4209429824561403	0.8181818181818182
0.74	0.6533566102726338	0.4444444444444444	0.8421052631578947
0.75	0.6386547193066956	0.4166666666666667	0.8333333333333334
0.76	0.5810314187818668	0.3333333333333333	0.7918749999999998
0.77	0.6012532640057291	0.3076923076923077	0.8421052631578947
0.78	0.6133494472143921	0.3	0.8751838235294116
0.79	0.7241558809010048	0.4	1.0
0.8	0.7748276946634359	0.4444444444444444	1.0
0.81	0.775078733032126	0.4444444444444444	1.0
0.82	0.8679273230671037	0.5714285714285714	1.0
0.83	0.8272922974461436	0.447979797979798	1.0
0.84	1.0	1.0	1.0
0.85	1.0	1.0	1.0
0.86	1.0	1.0	1.0
0.87	1.0	1.0	1.0
0.88	1.0	1.0	1.0
0.89	1.0	1.0	1.0
0.9	1.0	1.0	1.0
0.91	1.0	1.0	1.0
0.92	1.0	1.0	1.0
0.93	1.0	1.0	1.0
0.94	1.0	1.0	1.0
0.95	1.0	1.0	1.0
0.96	1.0	1.0	1.0
0.97	1.0	1.0	1.0
0.98	1.0	1.0	1.0
0.99	1.0	1.0	1.0
1.0	1.0	1.0	1.0
