Score	ORR	ORR025	ORR975
0.0	0.0	0.0	0.0
0.01	0.0	0.0	0.0
0.02	0.0	0.0	0.0
0.03	0.0	0.0	0.0
0.04	0.0	0.0	0.0
0.05	0.0	0.0	0.0
0.06	0.0	0.0	0.0
0.07	0.0	0.0	0.0
0.08	0.0	0.0	0.0
0.09	0.0	0.0	0.0
0.1	0.0	0.0	0.0
0.11	0.0200479335195435	0.0	0.06521739130434782
0.12	0.017060354160809126	0.0	0.05454545454545454
0.13	0.0275534114349441	0.0	0.06944444444444445
0.14	0.025390300282414326	0.0	0.06329616234679526
0.15	0.023346437750941328	0.0	0.05952380952380952
0.16	0.022329159425046853	0.0	0.056179775280898875
0.17	0.0195152852264991	0.0	0.050638275048272896
0.18	0.027534122710205465	0.0	0.06187177835051545
0.19	0.034139729079026536	0.0	0.0720018018018018
0.2	0.03005687665745564	0.0	0.06452193084242283
0.21	0.03582725629142431	0.007406045751633988	0.07195840102111857
0.22	0.03318895598940714	0.006754504504504505	0.06667597765363127
0.23	0.04865463310680046	0.01935483870967742	0.08633315569766409
0.24	0.053946355494234724	0.024996890547263683	0.09093521421107625
0.25	0.07287734077124787	0.04122659373027562	0.11460336538461537
0.26	0.10040352348413993	0.062486172566371685	0.14220282347358432
0.27	0.10820372335367945	0.06722689075630252	0.1506374348902741
0.28	0.11304787898885833	0.0759395218002813	0.15789473684210525
0.29	0.12606564426205527	0.08646616541353383	0.16666666666666666
0.3	0.13823728707220295	0.09829843801927551	0.17949640287769783
0.31	0.1499198974299625	0.10995843032923179	0.19137590334236673
0.32	0.17196818518044302	0.13252917030899625	0.2140632131446828
0.33	0.18180665666170603	0.1441607568338305	0.22598913784960906
0.34	0.18403046068356543	0.14670461130524873	0.22906420361525087
0.35	0.19342184849932254	0.1565065451145395	0.23529819129868013
0.36	0.19002120601075123	0.15384078212290503	0.2307799442896936
0.37	0.2035916501834847	0.1676296472674724	0.24612645154948956
0.38	0.20785341751418646	0.1684116282441641	0.24932285264497206
0.39	0.20597478201696776	0.16408288077957672	0.24534712778859935
0.4	0.21045459652834558	0.1680355217904625	0.2530487804878049
0.41	0.21649723733188692	0.17455518857873428	0.25878950821542673
0.42	0.19886099967702886	0.1583266129032258	0.2403894927536232
0.43	0.2063537375448746	0.16262761808111312	0.2492883763242069
0.44	0.23716170157255526	0.18908585858585858	0.2867898328396106
0.45	0.231652649029884	0.18143659917638985	0.2809352280237938
0.46	0.23203757866577882	0.18112058030759473	0.28359130274553157
0.47	0.22912122158139306	0.17368094823836452	0.2843622959452343
